name,size,url
78A_8.pdf,7202661,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78A_8.pdf
78A_9.pdf,3562546,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78A_9.pdf
78B_14.pdf,4634925,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78B_14.pdf
78B_5.pdf,6479016,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78B_5.pdf
78B_9.pdf,28391908,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78B_9.pdf
78C_2.pdf,4808609,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78C_2.pdf
78C_3.pdf,3247871,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78C_3.pdf
78C_4.pdf,7120076,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78C_4.pdf
78C_6.pdf,25236832,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78C_6.pdf
78D_4.pdf,6371425,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78D_4.pdf
78D_5.pdf,16087475,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78D_5.pdf
78D_8.pdf,3446097,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78D_8.pdf
78F_11.pdf,7719876,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78F_11.pdf
78F_14.pdf,8632088,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78F_14.pdf
78F_15.pdf,3713182,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78F_15.pdf
78F_16.pdf,9705594,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78F_16.pdf
78F_7.pdf,7859368,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78F_7.pdf
78J_1.pdf,8742191,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_1.pdf
78J_10.pdf,2808523,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_10.pdf
78J_11.pdf,5426663,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_11.pdf
78J_12.pdf,5013846,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_12.pdf
78J_13.pdf,8961528,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_13.pdf
78J_14.pdf,3459620,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_14.pdf
78J_15.pdf,3100816,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_15.pdf
78J_16.pdf,5382242,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_16.pdf
78J_2.pdf,8840419,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_2.pdf
78J_3.pdf,2809194,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_3.pdf
78J_4.pdf,8643972,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_4.pdf
78J_5.pdf,8596705,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_5.pdf
78J_6.pdf,1939129,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_6.pdf
78J_7.pdf,4883549,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_7.pdf
78J_8.pdf,5912606,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_8.pdf
78J_9.pdf,9788012,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78J_9.pdf
78K_1.pdf,5909506,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_1.pdf
78K_10.pdf,29566330,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_10.pdf
78K_11.pdf,30259006,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_11.pdf
78K_13.pdf,5529480,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_13.pdf
78K_14.pdf,25828350,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_14.pdf
78K_15.pdf,28494361,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_15.pdf
78K_2.pdf,27311899,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_2.pdf
78K_4.pdf,27602236,https://github.com/ramSeraph/india_topo_maps/releases/download/50k-osm-orig-extra4/78K_4.pdf
